Unique Id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Abuse Complaints
e7adca1a75,5370,4600,219,551,770,1605,34.89%,2926,222,4.83%,307,54,3
f392b72d90,7688,7375,238,75,313,2824,38.29%,5476,197,2.67%,277,241,3
5438eae854,8133,7872,242,19,261,3184,40.45%,6669,142,1.80%,206,140,2
7227d9d107,7976,7725,234,17,251,2795,36.18%,4837,256,3.31%,333,149,2
a17798dc8e,7815,7550,240,25,265,2712,35.92%,4728,267,3.54%,353,107,2
63c9681be4,7694,7427,46,221,267,2663,35.86%,4871,231,3.11%,315,72,1
a5417bd83f,7409,7321,42,46,88,2339,31.95%,11363,168,2.29%,211,81,0
a31d0a3be1,7286,7222,43,21,64,2062,28.55%,3935,138,1.91%,175,54,2
f17a198cb3,7213,7150,45,18,63,1971,27.57%,3175,58,0.81%,81,45,1
24a42db280,7991,7914,0,77,77,2532,31.99%,4372,145,1.83%,0,84,1
8ccb4b5616,3996,3967,17,12,29,1190,30.00%,2016,67,1.69%,89,40,0
af42fdab03,3995,3947,29,19,48,1342,34.00%,2356,78,1.98%,101,44,1
26b1ff51a5,3941,3903,25,13,38,1089,27.90%,2076,89,2.28%,110,34,1
85e52b57d2,7882,7810,0,72,72,2269,29.05%,4244,220,2.82%,0,57,1
dee9464762,3941,3907,22,12,34,1180,30.20%,2168,131,3.35%,171,23,0
9a380cbf75,3908,3854,28,26,54,1187,30.80%,2111,101,2.62%,133,45,0
d094741d8e,7815,7712,54,49,103,2449,31.76%,4354,220,2.85%,0,73,1
4c26476e78,3907,3858,26,23,49,1262,32.71%,2243,119,3.08%,144,28,1
bba429d67a,7714,7629,63,22,85,2952,38.69%,6282,83,1.09%,90,83,2
ce85472785,7619,7513,71,35,106,2416,32.16%,4247,243,3.23%,0,72,0
485aa399d7,3810,3764,28,18,46,1221,32.44%,2169,123,3.27%,159,34,0
f65d68388e,3809,3749,43,17,60,1195,31.88%,2078,120,3.20%,152,38,0
1524af3832,7530,7397,70,63,133,2455,33.19%,4176,175,2.37%,208,42,0
20064c2f00,7448,7338,79,31,110,2449,33.37%,4520,356,4.85%,485,64,0
e2438ee711,161,157,1,3,4,74,47.13%,195,0,0.00%,0,5,0
ad2a966a9a,7368,7260,62,46,108,2230,30.72%,3667,141,1.94%,178,56,1
b50cb866ca,7406,7310,58,38,96,2249,30.77%,3628,72,0.98%,86,56,0
071e8381cb,7436,7341,62,33,95,2413,32.87%,4208,131,1.78%,165,46,0
5e08d3a877,7501,7405,59,37,96,2280,30.79%,3758,87,1.17%,117,71,1
46e44627ab,350,336,4,10,14,175,52.08%,654,17,5.06%,22,4,0
ffcf3182fb,7551,7456,71,24,95,2170,29.10%,3379,90,1.21%,123,69,0
b477d2bad2,7623,7517,77,29,106,2283,30.37%,3772,146,1.94%,200,64,0
c108db4b98,7885,7760,76,49,125,2244,28.92%,3476,142,1.83%,188,85,0
d11b33d9ab,8202,8032,113,57,170,2348,29.23%,3789,177,2.20%,248,83,0
397cfcb9c1,8118,7942,115,61,176,2111,26.58%,3437,153,1.93%,204,91,2
793d1fc04d,7979,7824,120,35,155,1939,24.78%,2920,126,1.61%,175,95,1
5c4bbef75a,7852,7693,124,35,159,2191,28.48%,3355,114,1.48%,138,73,4
968804153f,7750,7606,114,30,144,1976,25.98%,2887,101,1.33%,117,69,0
48c1597ad2,7653,7505,94,54,148,1836,24.46%,3011,63,0.84%,79,125,0
c5bf999525,1869,1837,17,15,32,446,24.28%,740,32,1.74%,39,15,0
7e6dc4988d,1869,1840,15,14,29,495,26.90%,783,40,2.17%,48,17,0
4001944542,7476,7361,65,50,115,1744,23.69%,2981,121,1.64%,0,54,1
471b0b7ae3,3738,3684,33,21,54,803,21.80%,1458,49,1.33%,63,22,1
c79dad4551,7379,7305,60,14,74,1593,21.81%,2473,81,1.11%,103,55,3
554c11c7a8,7308,7194,53,61,114,1679,23.34%,2548,63,0.88%,79,65,1
739db3de90,7202,7103,51,48,99,1636,23.03%,2517,109,1.53%,137,51,0
69569387b9,7116,7028,55,33,88,1638,23.31%,2408,82,1.17%,107,73,1
bd4a75156d,7014,6938,53,23,76,1792,25.83%,2643,102,1.47%,128,83,1
c1cab91b95,6915,6824,61,30,91,1580,23.15%,2498,124,1.82%,163,43,0
881c24dd5b,6844,6771,49,24,73,1685,24.89%,2516,67,0.99%,79,65,1
